text,label
Initial visual inspection: cosmetic moisture intrusion in the foundation,Low Damage
"We lost the fridge , the vehicle , and the entire downstairs living room because of the storm surge.",Medium Damage
I can confirm that the property as well as the fridge survived the storm and are in perfect condition.,No Damage
"We suffered a catastrophic total failure of the building. All furnishings, such as the furnace and the sofa were washed away down the street.",Destroyed
"Notice of catastrophic total failure of the building. The structure itself, along with the vehicle and the couch have been obliterated.",Destroyed
"The flood ruined our HVAC , the car , and the entire downstairs living room because of the storm surge.",Medium Damage
Structure remains standing but sustained massive water damage to bedrooms and walls,Medium Damage
Assessment indicates slight seepage affecting the roof,Low Damage
got lucky just some mud in the basement corner thank god,Low Damage
We checked the premises including the delicate vehicle are completely safe and remain completely dry.,No Damage
"We suffered a total loss of property. Every single item, including the television and clothing have been obliterated.",Destroyed
"Heavy damage to the laptop , the couch , and the entire downstairs roof because of the storm surge.",Medium Damage
"We lost the television , the washer , and the entire downstairs attic from the sewage backup.",Medium Damage
"Filing for a complete destruction event. The structure itself, along with the television and toys were washed away down the street.",Destroyed
The water only reached the driveway gravel leaving to totally dry the clothing inside the house.,Low Damage
The water only reached the doormat and didn't touch the water heater upstairs.,Low Damage
I can confirm that the office and all contents like the furnace survived the storm and are in perfect condition.,No Damage
"The flood ruined our electronics , the laptop , and the entire downstairs drywall from the sewage backup.",Medium Damage
"Heavy damage to the water heater , the vehicle , and the entire downstairs basement from the sewage backup.",Medium Damage
Property is salvageable although needs complete replacement of ground floor and walls,Medium Damage
"Water destroyed the electronics , the fridge , and the entire downstairs living room due to the standing water.",Medium Damage
thankful just some water in the street outside today,Low Damage
"Water destroyed the dryer , the bed , and the entire downstairs kitchen from the sewage backup.",Medium Damage
well mud is everywhere and ruined the botom floor completely smells horrible now,Medium Damage
all good here no flooding at all near the building woohoo,No Damage
just an update found a small amount of water near the garage could be worse,Low Damage
Building is intact but sustained massive water damage to attic as well as bedrooms,Medium Damage
"Heavy damage to the mattress , the truck , and the entire downstairs basement after the river crested.",Medium Damage
"Notice of catastrophic total failure of the building. The structure itself, along with the car and HVAC were washed away down the street.",Destroyed
hey got a lil bit of mud in the gardn ill mop it up,Low Damage
I can confirm that the property as well as the TV survived the storm with zero damage.,No Damage
I can confirm that the store and all contents like the HVAC are completely safe and are in perfect condition.,No Damage
just an update got a lil bit of wetness near the garage could be worse,Low Damage
Happy to report the building as well as the sofa survived the storm with zero damage.,No Damage
I can confirm that the house including the delicate washer were not touched by water and are in perfect condition.,No Damage
Minor flooding hit the lawn ornaments leaving to totally dry the water heater upstairs.,Low Damage
"Filing for a complete destruction event. Every single item, including the truck and bed have been obliterated.",Destroyed
The water only reached the lawn ornaments and didn't touch the car inside the house.,Low Damage
We checked the house including the delicate vehicle are completely safe with zero damage.,No Damage
Minor flooding hit the bottom of the garage door leaving to totally dry the truck upstairs.,Low Damage
"Notice of 100 percent casualty of the residence. All furnishings, such as the HVAC and the electronics have been obliterated.",Destroyed
fyi just a splash of mud in the basment easy fix,Low Damage
"Heavy damage to the dryer , the electronics , and the entire downstairs doors due to the standing water.",Medium Damage
hey found a small amount of wetness near the garage could be worse,Low Damage
We checked the store and all contents like the clothing were not touched by water and are in perfect condition.,No Damage
all good here not a single drop near the house 🙏,No Damage
"The flood ruined our couch , the furnace , and the entire downstairs structural beams from the sewage backup.",Medium Damage
Happy to report the residence including the delicate HVAC were not touched by water and remain completely dry.,No Damage
"Heavy damage to the HVAC , the couch , and the entire downstairs walls from the sewage backup.",Medium Damage
Inspection complete. No moisture found at the house,No Damage
Happy to report the cottage as well as the washer were not touched by water and remain completely dry.,No Damage
"I am reporting a complete destruction event. Every single item, including the television and truck have been obliterated.",Destroyed
The water only reached the driveway gravel leaving to totally dry the washer inside the house.,Low Damage
"Heavy damage to the vehicle , the washer , and the entire downstairs living room from the sewage backup.",Medium Damage
Status update: Zero water level issues found at the property,No Damage
Thankfully just the driveway gravel and didn't touch the dryer upstairs.,Low Damage
Building is intact but sustained massive water damage to drywall plus flooring,Medium Damage
thankful just some water in the basement corner today,Low Damage
"Filing for a total loss of property. All furnishings, such as the television and clothing were washed away down the street.",Destroyed
Minor flooding hit the doormat leaving to totally dry the truck upstairs.,Low Damage
Happy to report the building and all contents like the couch were not touched by water and remain completely dry.,No Damage
"Notice of total loss of property. The structure itself, along with the mattress and water heater have been obliterated.",Destroyed
"The flood ruined our clothing , the mattress , and the entire downstairs basement after the river crested.",Medium Damage
Claim detail: extensive water damage to the lower levels including subfloor,Medium Damage
not too bad a tiny bit of mud in the garage !,Low Damage
"We lost the toys , the HVAC , and the entire downstairs walls after the river crested.",Medium Damage
"I am reporting a complete destruction event. Every single item, including the vehicle and dryer have been obliterated.",Destroyed
"I am reporting a total loss of property. Every single item, including the car and the clothing are gone completely.",Destroyed
"Water destroyed the couch , the sofa , and the entire downstairs drywall after the river crested.",Medium Damage
"Heavy damage to the water heater , the fridge , and the entire downstairs first floor from the sewage backup.",Medium Damage
"Notice of complete destruction event. The structure itself, along with the vehicle and the couch have been obliterated.",Destroyed
I can confirm that the store including the delicate TV survived the storm and are in perfect condition.,No Damage
all good here no flooding at all at our store 🙏,No Damage
dodged a bullet perfectly safe near the property 🙏,No Damage
We checked the structure as well as the vehicle are completely safe and are in perfect condition.,No Damage
Thankfully just the outdoor trash cans and didn't touch the TV inside the house.,Low Damage
Claim notes: Severe flooding causing complete structural failure of the apartment,Destroyed
just an update found a small amount of seepage on the driveway no biggie,Low Damage
Minor flooding hit the patio furniture but spared the television upstairs.,Low Damage
"Notice of complete destruction event. All furnishings, such as the furnace and truck are gone completely.",Destroyed
Minor flooding hit the doormat and didn't touch the dryer upstairs.,Low Damage
"We lost the car , the clothing , and the entire downstairs attic from the sewage backup.",Medium Damage
"Filing for a total loss of property. Every single item, including the bed and TV have been obliterated.",Destroyed
"I am reporting a 100 percent casualty of the residence. The structure itself, along with the furnace and TV were washed away down the street.",Destroyed
"Filing for a complete destruction event. All furnishings, such as the electronics and the fridge are gone completely.",Destroyed
phew just some water in the driveway imo,Low Damage
I can confirm that the structure as well as the dryer are completely safe with zero damage.,No Damage
"Heavy damage to the water heater , the truck , and the entire downstairs basement after the river crested.",Medium Damage
"I am reporting a total loss of property. The structure itself, along with the HVAC and clothing have been obliterated.",Destroyed
"Water destroyed the couch , the laptop , and the entire downstairs windows from the sewage backup.",Medium Damage
Thankfully just the bottom of the garage door leaving to totally dry the mattress inside the house.,Low Damage
"We lost the washer , the television , and the entire downstairs doors after the river crested.",Medium Damage
"Water destroyed the electronics , the dryer , and the entire downstairs ground floor because of the storm surge.",Medium Damage
lost everything our cottage is ruined forever !!!,Destroyed
Building is intact but requires extensive remediation of subfloor and foundation,Medium Damage
Happy to report the structure and all contents like the furnace are completely safe and are in perfect condition.,No Damage
"We suffered a complete destruction event. Every single item, including the laptop and the vehicle are gone completely.",Destroyed
I can confirm that the home including the delicate sofa are completely safe and are in perfect condition.,No Damage
"Water destroyed the TV , the TV , and the entire downstairs drywall from the sewage backup.",Medium Damage
"Heavy damage to the washer , the laptop , and the entire downstairs ground floor after the river crested.",Medium Damage
"I am reporting a complete destruction event. The structure itself, along with the truck and electronics were washed away down the street.",Destroyed
"Heavy damage to the mattress , the HVAC , and the entire downstairs ground floor from the sewage backup.",Medium Damage
"We suffered a complete destruction event. The structure itself, along with the clothing and HVAC were washed away down the street.",Destroyed
We checked the apartment as well as the vehicle were not touched by water and remain completely dry.,No Damage
Minor claim: minimal dampness in the kitchen,Low Damage
not too bad a tiny bit of leaks in the street outside today,Low Damage
Thankfully just the patio furniture and didn't touch the dryer upstairs.,Low Damage
Claim closed. No evidence of water intrusion observed on the home,No Damage
evacuated for nothing lol property looks perfectly fine no issues at all,No Damage
hey just a splash of mud near the garage easy fix,Low Damage
I can confirm that the property as well as the washer survived the storm and are in perfect condition.,No Damage
Minor claim: minor water accumulation near the windows,Low Damage
"We lost the HVAC , the fridge , and the entire downstairs foundation after the river crested.",Medium Damage
"I am reporting a complete destruction event. Every single item, including the couch and laptop have been obliterated.",Destroyed
Happy to report the property including the delicate bed survived the storm with zero damage.,No Damage
"The flood ruined our vehicle , the truck , and the entire downstairs insulation due to the standing water.",Medium Damage
Minor flooding hit the bottom of the garage door leaving to totally dry the television inside the house.,Low Damage
I can confirm that the cottage including the delicate truck are completely safe and are in perfect condition.,No Damage
"Notice of total loss of property. The structure itself, along with the laptop and dryer are gone completely.",Destroyed
"I am reporting a catastrophic total failure of the building. Every single item, including the dryer and HVAC have been obliterated.",Destroyed
"Filing for a complete destruction event. Every single item, including the furnace and the TV have been obliterated.",Destroyed
We checked the condo as well as the vehicle are completely safe with zero damage.,No Damage
We checked the house and all contents like the dryer are completely safe and remain completely dry.,No Damage
devastated our home is 100% destroyed 💔,Destroyed
Assessment indicates minimal water accumulation near the bedrooms,Low Damage
phew a tiny bit of puddles on the basement corner imo,Low Damage
"I am reporting a complete destruction event. Every single item, including the toys and washer were washed away down the street.",Destroyed
all good here no flooding at all near the house !,No Damage
Status update: No evidence of water intrusion affecting the residence,No Damage
I can confirm that the premises and all contents like the toys survived the storm with zero damage.,No Damage
Happy to report the condo including the delicate HVAC are completely safe and are in perfect condition.,No Damage
Thankfully just the outdoor trash cans but spared the fridge inside the house.,Low Damage
safe and sound not a single drop at our premises woohoo,No Damage
"Notice of total loss of property. All furnishings, such as the fridge and mattress are gone completely.",Destroyed
"I am reporting a 100 percent casualty of the residence. Every single item, including the television and couch are gone completely.",Destroyed
"Filing for a 100 percent casualty of the residence. All furnishings, such as the vehicle and the water heater have been obliterated.",Destroyed
Property is salvageable although shows severe damage to foundation as well as kitchen,Medium Damage
we are totally fine completely dry at our building safe,No Damage
dodged a bullet no flooding at all inside the shop thank heavens,No Damage
omg my residence collapsed :(,Destroyed
Minor claim: negligible seepage affecting the walls,Low Damage
Happy to report the property including the delicate water heater were not touched by water and remain completely dry.,No Damage
we checked the house just a splash of water in the gardn easy fix,Low Damage
We checked the unit and all contents like the car are completely safe with zero damage.,No Damage
"The flood ruined our car , the toys , and the entire downstairs ground floor from the sewage backup.",Medium Damage
cant believe this my property is completely gone 💔,Destroyed
fyi just a splash of mud near the garage could be worse,Low Damage
cant believe this the cottage is completely gone 😭,Destroyed
"Water destroyed the television , the laptop , and the entire downstairs ground floor because of the storm surge.",Medium Damage
"I am reporting a complete destruction event. All furnishings, such as the car and couch are gone completely.",Destroyed
"I am reporting a total loss of property. Every single item, including the HVAC and the electronics were washed away down the street.",Destroyed
We checked the store including the delicate HVAC were not touched by water and are in perfect condition.,No Damage
We checked the home and all contents like the washer were not touched by water and are in perfect condition.,No Damage
omg the structure is completely gone 😭,Destroyed
Structure remains standing but shows severe damage to garage and flooring,Medium Damage
We checked the office and all contents like the furnace were not touched by water and remain completely dry.,No Damage
Happy to report the structure including the delicate vehicle are completely safe with zero damage.,No Damage
Minor claim: minor water accumulation near the kitchen,Low Damage
Happy to report the condo and all contents like the clothing survived the storm and are in perfect condition.,No Damage
Assessment indicates superficial water accumulation near the drywall,Low Damage
flooded bad my downstairs looks terrible ugh,Medium Damage
I can confirm that the residence as well as the car survived the storm with zero damage.,No Damage
Assessment indicates slight seepage affecting the structural beams,Low Damage
"We suffered a complete destruction event. Every single item, including the electronics and the fridge are gone completely.",Destroyed
"I am reporting a complete destruction event. Every single item, including the electronics and the vehicle are gone completely.",Destroyed
Inspection complete. No structural damage observed on the residence,No Damage
"We suffered a catastrophic total failure of the building. The structure itself, along with the furnace and clothing are gone completely.",Destroyed
made it through missed us entirely inside the shop 🙏,No Damage
"Heavy damage to the truck , the fridge , and the entire downstairs doors due to the standing water.",Medium Damage
Field report: superficial moisture intrusion in the walls,Low Damage
I can confirm that the office and all contents like the bed were not touched by water with zero damage.,No Damage
"Heavy damage to the toys , the HVAC , and the entire downstairs roof due to the standing water.",Medium Damage
"We suffered a 100 percent casualty of the residence. Every single item, including the fridge and laptop were washed away down the street.",Destroyed
"Heavy damage to the dryer , the bed , and the entire downstairs roof because of the storm surge.",Medium Damage
"We suffered a 100 percent casualty of the residence. All furnishings, such as the clothing and the toys were washed away down the street.",Destroyed
"The flood ruined our water heater , the car , and the entire downstairs basement after the river crested.",Medium Damage
Initial visual inspection: cosmetic seepage affecting the attic,Low Damage
Status update: No water intrusion affecting the cottage,No Damage
Minor flooding hit the doormat leaving to totally dry the clothing upstairs.,Low Damage
"Filing for a catastrophic total failure of the building. The structure itself, along with the HVAC and car are gone completely.",Destroyed
dodged a bullet missed us entirely inside the office safe,No Damage
The water only reached the bottom of the garage door but spared the sofa in the main living area.,Low Damage
Inspection findings: Total inundation creating irreparable devastation to the office,Destroyed
Minor flooding hit the patio furniture and didn't touch the electronics upstairs.,Low Damage
Happy to report the home as well as the vehicle survived the storm with zero damage.,No Damage
"Filing for a catastrophic total failure of the building. Every single item, including the dryer and TV were washed away down the street.",Destroyed
"I am reporting a total loss of property. Every single item, including the sofa and mattress were washed away down the street.",Destroyed
Thankfully just the bottom of the garage door and didn't touch the washer in the main living area.,Low Damage
Happy to report the house and all contents like the couch are completely safe and remain completely dry.,No Damage
"Heavy damage to the sofa , the couch , and the entire downstairs subfloor from the sewage backup.",Medium Damage
"We suffered a 100 percent casualty of the residence. All furnishings, such as the sofa and water heater were washed away down the street.",Destroyed
"The flood ruined our laptop , the vehicle , and the entire downstairs bedrooms from the sewage backup.",Medium Damage
"Heavy damage to the HVAC , the bed , and the entire downstairs doors due to the standing water.",Medium Damage
cant believe this my unit is totally obliterated 😭,Destroyed
"Water destroyed the clothing , the furnace , and the entire downstairs first floor because of the storm surge.",Medium Damage
We checked the unit including the delicate bed survived the storm with zero damage.,No Damage
"Filing for a total loss of property. The structure itself, along with the electronics and electronics were washed away down the street.",Destroyed
so the flood hit us hard and ruined the kitchen and living room massive job to fix,Medium Damage
fyi saw some minor moisture near the garage could be worse,Low Damage
The water only reached the outdoor trash cans leaving to totally dry the truck inside the house.,Low Damage
"Filing for a 100 percent casualty of the residence. Every single item, including the television and the water heater have been obliterated.",Destroyed
"The flood ruined our toys , the furnace , and the entire downstairs windows due to the standing water.",Medium Damage
"I am reporting a 100 percent casualty of the residence. All furnishings, such as the television and dryer were washed away down the street.",Destroyed
I can confirm that the apartment as well as the television are completely safe with zero damage.,No Damage
"We suffered a catastrophic total failure of the building. The structure itself, along with the dryer and water heater have been obliterated.",Destroyed
Happy to report the premises and all contents like the toys survived the storm with zero damage.,No Damage
"We suffered a catastrophic total failure of the building. Every single item, including the sofa and fridge are gone completely.",Destroyed
"We lost the television , the truck , and the entire downstairs foundation after the river crested.",Medium Damage
Building is intact but needs complete replacement of subfloor plus kitchen,Medium Damage
Assessment indicates minimal water accumulation near the living room,Low Damage
Inspection complete. Zero water level issues affecting the shop,No Damage
Field report: minimal dampness in the first floor,Low Damage
"Heavy damage to the sofa , the laptop , and the entire downstairs foundation after the river crested.",Medium Damage
"The flood ruined our water heater , the bed , and the entire downstairs windows due to the standing water.",Medium Damage
Initial visual inspection: cosmetic dampness in the windows,Low Damage
"Water destroyed the mattress , the sofa , and the entire downstairs garage from the sewage backup.",Medium Damage
We checked the premises including the delicate TV are completely safe with zero damage.,No Damage
Field report: minimal dampness in the walls,Low Damage
Inspection findings: Category 2 storm surge leading to a total loss of the property,Destroyed
"We suffered a 100 percent casualty of the residence. The structure itself, along with the car and the toys were washed away down the street.",Destroyed
Happy to report the shop as well as the HVAC are completely safe and are in perfect condition.,No Damage
"I am reporting a catastrophic total failure of the building. The structure itself, along with the bed and the furnace have been obliterated.",Destroyed
I can confirm that the shop including the delicate vehicle are completely safe and remain completely dry.,No Damage
"The flood ruined our laptop , the vehicle , and the entire downstairs basement after the river crested.",Medium Damage
"Filing for a total loss of property. Every single item, including the laptop and washer were washed away down the street.",Destroyed
"I am reporting a catastrophic total failure of the building. The structure itself, along with the car and the sofa were washed away down the street.",Destroyed
"The flood ruined our dryer , the truck , and the entire downstairs ground floor from the sewage backup.",Medium Damage
Thankfully just the driveway gravel but spared the bed in the main living area.,Low Damage
"The flood ruined our fridge , the truck , and the entire downstairs insulation because of the storm surge.",Medium Damage
Adjuster notes: major water damage to the lower levels including roof,Medium Damage
Minor flooding hit the doormat but spared the car upstairs.,Low Damage
Minor flooding hit the outdoor trash cans and didn't touch the laptop inside the house.,Low Damage
"Filing for a total loss of property. All furnishings, such as the furnace and water heater were washed away down the street.",Destroyed
"Notice of complete destruction event. All furnishings, such as the laptop and vehicle are gone completely.",Destroyed
"We suffered a complete destruction event. The structure itself, along with the water heater and HVAC were washed away down the street.",Destroyed
"The flood ruined our television , the bed , and the entire downstairs kitchen after the river crested.",Medium Damage
all good here no flooding at all near the premises safe,No Damage
"Filing for a 100 percent casualty of the residence. The structure itself, along with the mattress and the dryer were washed away down the street.",Destroyed
"Filing for a catastrophic total failure of the building. Every single item, including the couch and television have been obliterated.",Destroyed
Field report: slight dampness in the flooring,Low Damage
"Notice of total loss of property. All furnishings, such as the car and the toys are gone completely.",Destroyed
Assessment indicates negligible dampness in the living room,Low Damage
Inspection complete. Zero flood impact found at the apartment,No Damage
I can confirm that the condo as well as the bed were not touched by water with zero damage.,No Damage
hey saw some minor mud on the driveway easy fix,Low Damage
Field report: superficial seepage affecting the bedrooms,Low Damage
"Filing for a complete destruction event. The structure itself, along with the car and furnace are gone completely.",Destroyed
"Heavy damage to the sofa , the clothing , and the entire downstairs windows after the river crested.",Medium Damage
"The flood ruined our dryer , the washer , and the entire downstairs insulation because of the storm surge.",Medium Damage
"We suffered a complete destruction event. The structure itself, along with the washer and laptop were washed away down the street.",Destroyed
We checked the condo as well as the vehicle were not touched by water with zero damage.,No Damage
I can confirm that the structure including the delicate HVAC are completely safe and remain completely dry.,No Damage
just a scare only a little water in the yard today,Low Damage
Minor flooding hit the outdoor trash cans leaving to totally dry the mattress in the main living area.,Low Damage
blessed perfectly safe near the building safe,No Damage
fyi found a small amount of mud in the basment easy fix,Low Damage
"Heavy damage to the truck , the toys , and the entire downstairs attic after the river crested.",Medium Damage
"Heavy damage to the car , the water heater , and the entire downstairs flooring after the river crested.",Medium Damage
Property is salvageable although sustained massive water damage to first floor as well as walls,Medium Damage
We checked the condo including the delicate laptop are completely safe with zero damage.,No Damage
got lucky a tiny bit of puddles on the garage thank god,Low Damage
The water only reached the lawn ornaments but spared the toys in the main living area.,Low Damage
Status update: Zero water intrusion found at the cottage,No Damage
"Heavy damage to the water heater , the vehicle , and the entire downstairs basement after the river crested.",Medium Damage
"We suffered a catastrophic total failure of the building. Every single item, including the couch and television are gone completely.",Destroyed
"Heavy damage to the couch , the fridge , and the entire downstairs doors due to the standing water.",Medium Damage
"Heavy damage to the truck , the vehicle , and the entire downstairs walls from the sewage backup.",Medium Damage
Minor flooding hit the driveway gravel leaving to totally dry the couch upstairs.,Low Damage
"We suffered a complete destruction event. All furnishings, such as the toys and mattress were washed away down the street.",Destroyed
we checked the house found a small amount of moisture near the garage no biggie,Low Damage
"Notice of catastrophic total failure of the building. The structure itself, along with the furnace and the vehicle have been obliterated.",Destroyed
fyi just a splash of water near the garage could be worse,Low Damage
"Filing for a 100 percent casualty of the residence. Every single item, including the TV and electronics are gone completely.",Destroyed
I can confirm that the home and all contents like the toys are completely safe and are in perfect condition.,No Damage
Thankfully just the outdoor trash cans but spared the television upstairs.,Low Damage
safe and sound perfectly safe at our premises !,No Damage
Happy to report the premises and all contents like the furnace survived the storm and remain completely dry.,No Damage
"Notice of catastrophic total failure of the building. All furnishings, such as the dryer and washer are gone completely.",Destroyed
"We suffered a complete destruction event. All furnishings, such as the laptop and the mattress were washed away down the street.",Destroyed
Building is intact but sustained massive water damage to bedrooms and living room,Medium Damage
"We suffered a complete destruction event. All furnishings, such as the toys and the electronics were washed away down the street.",Destroyed
Minor flooding hit the outdoor trash cans and didn't touch the mattress upstairs.,Low Damage
"The flood ruined our TV , the HVAC , and the entire downstairs flooring due to the standing water.",Medium Damage
I can confirm that the property including the delicate couch survived the storm and remain completely dry.,No Damage
"Heavy damage to the fridge , the couch , and the entire downstairs foundation due to the standing water.",Medium Damage
"Water destroyed the laptop , the washer , and the entire downstairs first floor due to the standing water.",Medium Damage
"Filing for a complete destruction event. All furnishings, such as the vehicle and bed are gone completely.",Destroyed
"The flood ruined our fridge , the car , and the entire downstairs ground floor after the river crested.",Medium Damage
Happy to report the building as well as the furnace survived the storm with zero damage.,No Damage
I can confirm that the residence including the delicate washer survived the storm with zero damage.,No Damage
"Notice of complete destruction event. Every single item, including the bed and the furnace were washed away down the street.",Destroyed
Structure remains standing but shows severe damage to basement and garage,Medium Damage
Assessment indicates minor seepage affecting the drywall,Low Damage
Claim detail: moderate to severe inundation of the structural support and ground floor,Medium Damage
Happy to report the apartment and all contents like the dryer were not touched by water and are in perfect condition.,No Damage
Minor claim: negligible dampness in the flooring,Low Damage
"Filing for a 100 percent casualty of the residence. Every single item, including the car and HVAC have been obliterated.",Destroyed
We checked the cottage as well as the water heater survived the storm and remain completely dry.,No Damage
safe and sound missed us entirely at our home thank heavens,No Damage
omg our house is ruined forever !!!,Destroyed
We checked the residence and all contents like the couch are completely safe with zero damage.,No Damage
Thankfully just the outdoor trash cans and didn't touch the furnace upstairs.,Low Damage
Adjuster notes: extensive water damage to the main living areas and windows,Medium Damage
"Notice of catastrophic total failure of the building. All furnishings, such as the toys and the truck were washed away down the street.",Destroyed
The water only reached the outdoor trash cans leaving to totally dry the mattress upstairs.,Low Damage
"I am reporting a total loss of property. Every single item, including the fridge and the bed are gone completely.",Destroyed
The water only reached the bottom of the garage door but spared the couch in the main living area.,Low Damage
Happy to report the home as well as the toys survived the storm and remain completely dry.,No Damage
"We lost the mattress , the laptop , and the entire downstairs drywall after the river crested.",Medium Damage
I can confirm that the residence including the delicate fridge were not touched by water with zero damage.,No Damage
"Filing for a catastrophic total failure of the building. The structure itself, along with the fridge and bed are gone completely.",Destroyed
"We lost the television , the furnace , and the entire downstairs basement from the sewage backup.",Medium Damage
I can confirm that the apartment including the delicate television were not touched by water and remain completely dry.,No Damage
Happy to report the property including the delicate clothing are completely safe with zero damage.,No Damage
Final assessment: No flood impact found at the unit,No Damage
"Filing for a 100 percent casualty of the residence. All furnishings, such as the vehicle and toys were washed away down the street.",Destroyed
Thankfully just the patio furniture but spared the toys in the main living area.,Low Damage
all good here no flooding at all near the residence thank heavens,No Damage
"We lost the clothing , the dryer , and the entire downstairs windows after the river crested.",Medium Damage
Thankfully just the driveway gravel but spared the couch inside the house.,Low Damage
"Water destroyed the car , the mattress , and the entire downstairs roof after the river crested.",Medium Damage
Happy to report the premises and all contents like the dryer survived the storm with zero damage.,No Damage
Happy to report the shop including the delicate sofa were not touched by water and remain completely dry.,No Damage
"Water destroyed the water heater , the truck , and the entire downstairs living room from the sewage backup.",Medium Damage
Minor flooding hit the driveway gravel and didn't touch the television in the main living area.,Low Damage
"I am reporting a 100 percent casualty of the residence. All furnishings, such as the TV and TV have been obliterated.",Destroyed
"The flood ruined our TV , the bed , and the entire downstairs basement from the sewage backup.",Medium Damage
I can confirm that the cottage as well as the bed were not touched by water and are in perfect condition.,No Damage
safe and sound missed us entirely at our building thank heavens,No Damage
The water only reached the doormat leaving to totally dry the furnace upstairs.,Low Damage
we are totally fine not a single drop near the shop woohoo,No Damage
Claim closed. Zero water level issues recorded for the premises,No Damage
"Water destroyed the truck , the vehicle , and the entire downstairs insulation after the river crested.",Medium Damage
got lucky a tiny bit of water in the yard today,Low Damage
"I am reporting a total loss of property. Every single item, including the toys and the toys have been obliterated.",Destroyed
"The flood ruined our laptop , the toys , and the entire downstairs insulation because of the storm surge.",Medium Damage
blessed no flooding at all at our unit woohoo,No Damage
"Heavy damage to the couch , the furnace , and the entire downstairs windows due to the standing water.",Medium Damage
"Water destroyed the clothing , the mattress , and the entire downstairs doors from the sewage backup.",Medium Damage
Claim detail: major water damage to the main living areas and insulation,Medium Damage
"Heavy damage to the washer , the vehicle , and the entire downstairs basement after the river crested.",Medium Damage
"We lost the television , the sofa , and the entire downstairs living room due to the standing water.",Medium Damage
Thankfully just the bottom of the garage door leaving to totally dry the sofa upstairs.,Low Damage
got lucky a tiny bit of mud in the garage today,Low Damage
"We suffered a 100 percent casualty of the residence. The structure itself, along with the fridge and television have been obliterated.",Destroyed
"Filing for a complete destruction event. Every single item, including the car and washer were washed away down the street.",Destroyed
"Heavy damage to the mattress , the furnace , and the entire downstairs ground floor due to the standing water.",Medium Damage
just an update got a lil bit of mud on the driveway easy fix,Low Damage
The water only reached the doormat leaving to totally dry the car upstairs.,Low Damage
"We lost the water heater , the bed , and the entire downstairs bedrooms due to the standing water.",Medium Damage
Status update: No flood impact recorded for the cottage,No Damage
Structure remains standing but requires extensive remediation of basement and subfloor,Medium Damage
I can confirm that the shop as well as the electronics were not touched by water and remain completely dry.,No Damage
Adjuster report: Catastrophic storm surge leading to complete structural failure of the unit,Destroyed
minor issue only a little water in the basement corner today,Low Damage
"Notice of 100 percent casualty of the residence. All furnishings, such as the fridge and the truck were washed away down the street.",Destroyed
terrible storm the living area is completely soaked need to rebuild,Medium Damage
just a scare only a little leaks in the yard thank god,Low Damage
I can confirm that the premises and all contents like the vehicle survived the storm and are in perfect condition.,No Damage
"Heavy damage to the dryer , the fridge , and the entire downstairs insulation because of the storm surge.",Medium Damage
Initial visual inspection: superficial moisture intrusion in the doors,Low Damage
We checked the premises including the delicate clothing survived the storm and remain completely dry.,No Damage
"Notice of complete destruction event. Every single item, including the furnace and furnace were washed away down the street.",Destroyed
"Filing for a catastrophic total failure of the building. The structure itself, along with the toys and water heater have been obliterated.",Destroyed
Adjuster report: Total flooding causing a total loss of the condo,Destroyed
"I am reporting a total loss of property. The structure itself, along with the electronics and water heater have been obliterated.",Destroyed
We checked the cottage and all contents like the vehicle survived the storm and are in perfect condition.,No Damage
"Heavy damage to the sofa , the vehicle , and the entire downstairs doors because of the storm surge.",Medium Damage
"I am reporting a total loss of property. The structure itself, along with the bed and washer are gone completely.",Destroyed
"We suffered a complete destruction event. Every single item, including the sofa and washer have been obliterated.",Destroyed
"Heavy damage to the clothing , the laptop , and the entire downstairs structural beams from the sewage backup.",Medium Damage
"We lost the dryer , the television , and the entire downstairs basement after the river crested.",Medium Damage
The water only reached the driveway gravel and didn't touch the washer in the main living area.,Low Damage
made it through missed us entirely at our building 🙏,No Damage
We checked the home and all contents like the clothing are completely safe and are in perfect condition.,No Damage
Happy to report the house as well as the HVAC survived the storm and remain completely dry.,No Damage
"Heavy damage to the television , the laptop , and the entire downstairs ground floor because of the storm surge.",Medium Damage
"I am reporting a complete destruction event. All furnishings, such as the furnace and the water heater have been obliterated.",Destroyed
I can confirm that the structure including the delicate sofa are completely safe and remain completely dry.,No Damage
"We lost the furnace , the car , and the entire downstairs first floor because of the storm surge.",Medium Damage
Happy to report the apartment as well as the truck were not touched by water and remain completely dry.,No Damage
"We suffered a complete destruction event. The structure itself, along with the toys and the couch are gone completely.",Destroyed
Structure remains standing but shows severe damage to roof plus insulation,Medium Damage
I can confirm that the store and all contents like the washer were not touched by water and are in perfect condition.,No Damage
Thankfully just the doormat leaving to totally dry the bed upstairs.,Low Damage
not too bad only a little mud in the yard imo,Low Damage
"We suffered a total loss of property. The structure itself, along with the electronics and television are gone completely.",Destroyed
Claim detail: heavy flooding in the lower levels including subfloor,Medium Damage
"The flood ruined our truck , the electronics , and the entire downstairs living room due to the standing water.",Medium Damage
got lucky a tiny bit of water in the driveway !,Low Damage
damn water came up super high and trashed the drywal and floors smells horrible now,Medium Damage
hey found a small amount of moisture in the basment easy fix,Low Damage
"I am reporting a 100 percent casualty of the residence. Every single item, including the vehicle and TV have been obliterated.",Destroyed
Assessment indicates superficial dampness in the roof,Low Damage
